Qty,Value,Package,Designators,Notes
1,10uF,C_AXIAL-0.2,"C0",""
6,33nF,C_AXIAL-0.2,"C1, C2, C3A, C3B, C4A, C4B",""
4,100nF,C_AXIAL-0.2,"C5, C6, C7, C8",""
4,20k,POT-ALPHA-16MM,"VR1A, VR1B, VR2A, VR2B","2 x dual-gang 20k linear pots (VR1, VR2); wired as rheostats"
3,10k log,RK097-AUDIO-10K,"VR3, VR4, VR5","3 x single-gang 10k audio/log-taper pots (VR3 HIGH, VR4 MID, VR5 LOW); wired as an attenuator between the filter output and its terminal block, not as a rheostat"
5,10k,R_AXIAL-0.4,"R1, R10, R11, R23, R24","R10/R11/R23/R24 are the TP1/TP2 null network - optional"
10,5.6k,R_AXIAL-0.4,"R2, R4, R5, R6, R12, R14, R15, R16, R20, R21",""
2,11k,R_AXIAL-0.4,"R3, R13","Sets filter Q (0.503); 11k2 = exact Q 0.5, 5k04 = Butterworth"
2,4.7k,R_AXIAL-0.4,"R7, R8",""
3,100R,R_AXIAL-0.4,"R9, R19, R22","Output series build-out resistors"
2,13k,R_AXIAL-0.4,"R17, R18",""
8,MC33079,SOIC-14,"U1A, U1B, U1C, U1D, U2A, U2B, U2C, U2D","2 x quad op-amp packages (U1 = filter 1, U2 = filter 2); each drawn as four sections. Any standard quad pinout fits: OPA1644, OPA4134, LME49740, TL074"
1,IN,TB-2P-5.08,"J2","Signal input"
1,HIGH,TB-2P-5.08,"J3","Output terminal block to the treble amplifier"
1,MID,TB-2P-5.08,"J4","Output terminal block to the midrange amplifier"
1,LOW,TB-2P-5.08,"J5","Output terminal block to the bass amplifier"
1,PWR,TB-3P-5.08,"J1",""
2,TP,TESTPOINT,"TP1, TP2","Test points - optional, omit with R10/R11 and R23/R24"
